,movie,genre,age_limit,language,movie_link,showtime,date,cinema,place,rating,cinema_place,latitude,longitude
0,Hive,Drama,12Y.,O/ge,https://www.cineman.ch/en/movie/2021/Hive/,18:10,2021-10-10,Riffraff,Zürich,5.0,Riffraff Zürich,47.3827835,8.5290454
1,Je suis Karl,Drama,12Y.,G/e,https://www.cineman.ch/en/movie/2021/JeSuisKarl/,18:10,2021-10-10,Houdini,Zürich,4.0,Houdini Zürich,47.3746074,8.5203069
2,Nomadland,Drama,12/6Y.,E/gf,https://www.cineman.ch/en/movie/2020/Nomadland/,18:10,2021-10-10,Riffraff,Zürich,4.0,Riffraff Zürich,47.3827835,8.5290454
3,Supernova,Drama,14Y.,G,https://www.cineman.ch/en/movie/2021/Supernova/,18:10,2021-10-10,Arena Cinemas,Zürich,3.8,Arena Cinemas Zürich,47.3584599,8.5229214
4,Supernova,Drama,14Y.,E/gf,https://www.cineman.ch/en/movie/2021/Supernova/,18:40,2021-10-10,Kosmos,Zürich,3.8,Kosmos Zürich,47.3799807,8.5290807
5,Felkészülés meghatározatlan ideig tartó együttlétre,Drama,16Y.,O/gf,https://www.cineman.ch/en/movie/2020/FelkeszuelesMeghatarozatlanIdeigTartoEgyuettletre/,18:15,2021-10-10,Arthouse Alba,Zürich,4.0,Arthouse Alba Zürich,47.3761085,8.544658199999999
6,Bigger Than Us,Documentary,10Y.,E/gf,https://www.cineman.ch/en/movie/2002/BiggerThanUs/,18:20,2021-10-10,Arthouse Piccadilly,Zürich,,Arthouse Piccadilly Zürich,47.365993,8.5489046
7,Herr Bachmann und seine Klasse,Documentary,8Y.,G,https://www.cineman.ch/en/movie/2021/HerrBachmannUndSeineKlasse/,18:20,2021-10-10,Arthouse Uto,Zürich,5.0,Arthouse Uto Zürich,47.3741858,8.5213039
8,Dark Shadows,"Comedy, Fantasy",unknown,E/gf,https://www.cineman.ch/en/movie/2012/DarkShadows/,18:30,2021-10-10,Xenix,Zürich,3.5,Xenix Zürich,47.37528529999999,8.5261529
9,Druk,Drama,14Y.,O/gf,https://www.cineman.ch/en/movie/2020/Druk/,18:30,2021-10-10,Riffraff,Zürich,4.1,Riffraff Zürich,47.3827835,8.5290454
10,Jazz on a Summer's Day (Restored),,unknown,E/gf,https://www.cineman.ch/en/showtimes/cinema/kosmos-zurich/1217/,18:30,2021-10-10,Kosmos,Zürich,,Kosmos Zürich,47.3799807,8.5290807
11,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,https://www.cineman.ch/en/movie/2020/NoTimeToDie/,18:30,2021-10-10,blue Cinema Metropol,Zürich,3.9,blue Cinema Metropol Zürich,47.3737637,8.530738099999999
12,Azor,,16Y.,O/ge,https://www.cineman.ch/en/movie/2021/Azor/,18:40,2021-10-10,Houdini,Zürich,,Houdini Zürich,47.3746074,8.5203069
13,Titane,"Mystery, Thriller",16Y.,F/g,https://www.cineman.ch/en/movie/2021/Titane/,18:40,2021-10-10,Riffraff,Zürich,3.6,Riffraff Zürich,47.3827835,8.5290454
14,No Time to Die,"Action, Adventure, Thriller",14Y.,G,https://www.cineman.ch/en/movie/2020/NoTimeToDie/,19:00,2021-10-10,blue Cinema Abaton,Zürich,3.9,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
15,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,https://www.cineman.ch/en/movie/2020/NoTimeToDie/,19:15,2021-10-10,blue Cinema Abaton,Zürich,3.9,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
