,movie,genre,age_limit,language,showtime,date,cinema,place,cinema_place,latitude,longitude
0,Bigger Than Us,Documentary,10Y.,E/gf,11:00,2021-10-23,Arthouse Piccadilly,Zürich,Arthouse Piccadilly Zürich,47.365993,8.5489046
1,Tiger und Büffel,Documentary,12Y.,O/g,11:50,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
2,"Quo Vadis, Aida?","Drama, War",14/12Y.,O/gf,12:00,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
3,The Story of My Wife,"Drama, Romance",12Y.,E/g,12:00,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
4,Wild,Documentary,12Y.,O/g,12:10,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
5,Harald Naegeli - Der Sprayer von Zürich,Documentary,12Y.,CH/g,12:15,2021-10-23,Arthouse Le Paris,Zürich,Arthouse Le Paris Zürich,47.3664352,8.547469399999999
6,Azor,,16Y.,O/ge,12:20,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
7,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:00,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
8,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
9,No Time to Die,"Action, Adventure, Thriller",14Y.,G,13:50,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
10,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,13:45,2021-10-23,blue Cinema Corso,Zürich,blue Cinema Corso Zürich,47.3663426,8.546733999999999
11,Bigger Than Us,Documentary,10Y.,E/g,13:10,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
12,The French Dispatch,"Comedy, Drama, Romance",14/12Y.,E/gf,13:10,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
13,Bad Luck Banging or Loony Porn,"Comedy, Drama",18Y.,O/gf,13:15,2021-10-23,Arthouse Piccadilly,Zürich,Arthouse Piccadilly Zürich,47.365993,8.5489046
14,Supernova,Drama,14Y.,E/gf,13:20,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
15,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,13:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
16,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
17,Die Schule der magischen Tiere,"Adventure, Children",4Y.,G,13:45,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
18,Ostwind 5 - Der grosse Orkan,Children,6Y.,G,13:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
19,Paw Patrol: The Movie,"Animation, Children",6/4Y.,G,13:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
20,Paw Patrol: The Movie,"Animation, Children",6/4Y.,G,13:30,2021-10-23,Stüssihof,Zürich,Stüssihof Zürich,47.3723239,8.5437701
21,Peter Rabbit 2: The Runaway,"Animation, Children",10/6Y.,E/gf,13:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
22,Peter Rabbit 2: The Runaway,"Animation, Children",10/6Y.,G,13:40,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
23,Schachnovelle,Drama,12Y.,G,13:30,2021-10-23,Kosmos,Zürich,Kosmos Zürich,47.3799807,8.5290807
24,Tom & Jerry,"Adventure, Animation, Children, Comedy",8/6Y.,G,13:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
25,Tom & Jerry,"Adventure, Animation, Children, Comedy",8/6Y.,G,13:40,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
26,Bigfoot Superstar,Animation,8Y.,G,13:40,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
27,Hive,Drama,12Y.,O/ge,13:40,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
28,Nomadland,Drama,12/6Y.,E/gf,13:40,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
29,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,E/gf,13:45,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
30,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,13:50,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
31,Cry Macho,"Drama, Western",12Y.,E/gf,13:45,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
32,The Last Duel,"Drama, History",16Y.,E/gf,13:45,2021-10-23,blue Cinema Corso,Zürich,blue Cinema Corso Zürich,47.3663426,8.546733999999999
33,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,13:45,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
34,Herr Bachmann und seine Klasse,Documentary,8Y.,G,13:50,2021-10-23,Arthouse Movie,Zürich,Arthouse Movie Zürich,47.3707036,8.5437007
35,Billie,"Documentary, Music",16/10Y.,E/g,14:00,2021-10-23,Arthouse Piccadilly,Zürich,Arthouse Piccadilly Zürich,47.365993,8.5489046
36,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,E/gf,14:00,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
37,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,14:45,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
38,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,14:00,2021-10-23,blue Cinema Corso,Zürich,blue Cinema Corso Zürich,47.3663426,8.546733999999999
39,The Boss Baby: Family Business,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,14:15,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
40,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,14:00,2021-10-23,Houdini,Zürich,Houdini Zürich,47.3746074,8.5203069
41,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,14:15,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
42,The Croods 2,"Adventure, Animation, Children, Comedy, Fantasy",6Y.,G,14:45,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
43,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,14:00,2021-10-23,blue Cinema Metropol,Zürich,blue Cinema Metropol Zürich,47.3737637,8.530738099999999
44,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,14:00,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
45,No Time to Die,"Action, Adventure, Thriller",14Y.,G,14:15,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
46,No Time to Die,"Action, Adventure, Thriller",14Y.,E/gf,14:15,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
47,Shang-Chi and the Legend of the Ten Rings,"Action, Adventure, Fantasy",12Y.,G,14:00,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
48,The Man Who Sold His Skin,Drama,16Y.,O/gf,14:00,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
49,Titane,"Mystery, Thriller",16Y.,F/g,14:00,2021-10-23,Riffraff,Zürich,Riffraff Zürich,47.3827835,8.5290454
50,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,14:00,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
51,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,E/gf,14:15,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
52,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,G,14:15,2021-10-23,blue Cinema Abaton,Zürich,blue Cinema Abaton Zürich,47.3892435,8.521358900000001
53,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,E/gf,14:30,2021-10-23,blue Cinema Metropol,Zürich,blue Cinema Metropol Zürich,47.3737637,8.530738099999999
54,Venom: Let There Be Carnage,"Action, Sci-fi",14Y.,E/gf,14:30,2021-10-23,Arena Cinemas,Zürich,Arena Cinemas Zürich,47.3584599,8.5229214
55,Dune,"Action, Adventure, Drama, Sci-fi",14/12Y.,E/gf,14:15,2021-10-23,blue Cinema Capitol,Zürich,blue Cinema Capitol Zürich,47.3778376,8.5441343
