,adult,id,original_title,popularity,video,tagline,overview
0,False,728118,"Quo Vadis, Aida?",8.989,False,,"Bosnia, July 1995. Aida is a translator for the UN in the small town of Srebrenica. When the Serbian army takes over the town, her family is among the thousands of citizens looking for shelter in the UN camp. As an insider to the negotiations Aida has access to crucial information that she needs to interpret. What is at the horizon for her family and people - rescue or death? Which move should she take?"
1,False,228970,Wild,10.256,False,,A woman with a tragic past decides to start her new life by hiking for one thousand miles on the Pacific Crest Trail.
2,False,846980,Harald Naegeli - Der Sprayer von Zürich,0.835,False,,"The Swiss artist Harald Naegeli became known around the world as the “Sprayer of Zurich” in the late 1970s. With his graffiti he criticized the monotonous, inhospitable cityscape of Zurich, but also the politics and the handling of the environment.  In her sensitive portrait, director Nathalie David shows Harald Naegeli's multifaceted personality - as a visionary, argumentative artist, rebel, philosopher and astute, humorous person."
3,False,659954,Azor,38.98,False,,"Yvan De Wiel, a private banker from Geneva, is going to an Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight. Between hushed lounges, swimming pools and gardens under surveillance, a remote duel between two bankers who, despite different methods, are the accomplices of a discreet and merciless form of colonization."
4,False,370172,No Time to Die,567.954,False,The mission that changes everything begins…,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology."
5,False,842349,Bigger Than Us,2.128,False,,
6,False,642208,Supernova,36.603,False,,"Sam and Tusker, partners of 20 years, are traveling across England in their old RV visiting friends, family and places from their past. Since Tusker was diagnosed with early-onset dementia two years ago, their time together is the most important thing they have.  As the trip progresses, however, their ideas for the future clash, secrets come out, and their love for each other is tested as never before. Ultimately, they must confront the question of what it means to love one another in the face of Tusker’s illness."
7,False,793937,Die Schule der magischen Tiere,3.728,False,,"Ida is new to town and has a hard time making friends. One day her weird class teacher Miss Cornfield announces that everyone in the class will soon have a magical animal to accompany them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. The animals are something very special: They not only have magical abilities, they can also speak and develop their very own character! Henrietta is slow but wise. Rabbat, on the other hand, is very smart and shrewd. Due to his charismatic nature, Ida quickly becomes the star of the class, everyone is keen to be friends with her. One day there is great excitement in the Winterstein School: A thief is up to mischief and makes things disappear. The children and their magical animals go in search of the perpetrator."
8,False,522478,Peter Rabbit 2: The Runaway,308.29,False,The garden was just the beginning.,"Bea, Thomas, and the rabbits have created a makeshift family, but despite his best efforts, Peter can’t seem to shake his mischievous reputation. Adventuring out of the garden, Peter finds himself in a world where his mischief is appreciated, but when his family risks everything to come looking for him, Peter must figure out what kind of bunny he wants to be."
9,False,748787,Schachnovelle,4.436,False,He turned resistance into a game,"1938. While the Nazi troops march into Vienna, the lawyer Josef Bartok hastily tries to escape to the USA with his wife but is arrested by the Gestapo. Bartok remains steadfast and refuses to cooperate with the Gestapo that requires confidential information from him. Thrown into solitary confinement, Bartok is psychologically tormented for months and begins to weaken. However, when he steals an old book about chess it sets him on course to overcome the mental suffering inflicted upon him, until it becomes a dangerous obsession."
