,adult,id,original_title,popularity,video,tagline,overview,genres_string
0,False,846964,Und morgen seid ihr tot,1.345,False,,In 2011 the young married Swiss couple Daniela Widmer and David Och got kidnapped while being on a long trip along the old Silk Road in Pakistan. They were hand over to the Taliban and were held as hostages for 8 months under the most precarious conditions.,Drama Thriller
1,False,846980,Harald Naegeli - Der Sprayer von Zürich,0.6,False,,"The Swiss artist Harald Naegeli became known around the world as the “Sprayer of Zurich” in the late 1970s. With his graffiti he criticized the monotonous, inhospitable cityscape of Zurich, but also the politics and the handling of the environment.  In her sensitive portrait, director Nathalie David shows Harald Naegeli's multifaceted personality - as a visionary, argumentative artist, rebel, philosopher and astute, humorous person.",Documentary
2,False,568124,Encanto,3033.192,False,There's a little magic in all of us ...almost all of us.,"The tale of an extraordinary family, the Madrigals, who live hidden in the mountains of Colombia, in a magical house, in a vibrant town, in a wondrous, charmed place called an Encanto. The magic of the Encanto has blessed every child in the family with a unique gift from super strength to the power to heal—every child except one, Mirabel. But when she discovers that the magic surrounding the Encanto is in danger, Mirabel decides that she, the only ordinary Madrigal, might just be her exceptional family's last hope.",Adventure Animation Comedy Family Fantasy Music
3,False,793937,Die Schule der magischen Tiere,1.975,False,,"Ida is new to town and has a hard time making friends. One day her weird class teacher Miss Cornfield announces that everyone in the class will soon have a magical animal to accompany them. Ida is put to the side of the fox Rabbat. Benni, just like Ida also an outsider, has the turtle Henrietta as a new companion. The animals are something very special: They not only have magical abilities, they can also speak and develop their very own character! Henrietta is slow but wise. Rabbat, on the other hand, is very smart and shrewd. Due to his charismatic nature, Ida quickly becomes the star of the class, everyone is keen to be friends with her. One day there is great excitement in the Winterstein School: A thief is up to mischief and makes things disappear. The children and their magical animals go in search of the perpetrator.",Adventure Family
4,False,655082,Eiffel,11.021,False,You will never look at it the same way again,"The government is asking Eiffel to design something spectacular for the 1889 Paris World Fair, but Eiffel simply wants to design the subway. Suddenly, everything changes when Eiffel crosses paths with a mysterious woman from his past.",Drama History
5,False,425909,Ghostbusters: Afterlife,471.69,False,Uncover the past. Protect the future.,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",Comedy Fantasy Adventure Science Fiction
6,False,748787,Schachnovelle,1.96,False,He turned resistance into a game,"1938. While the Nazi troops march into Vienna, the lawyer Josef Bartok hastily tries to escape to the USA with his wife but is arrested by the Gestapo. Bartok remains steadfast and refuses to cooperate with the Gestapo that requires confidential information from him. Thrown into solitary confinement, Bartok is psychologically tormented for months and begins to weaken. However, when he steals an old book about chess it sets him on course to overcome the mental suffering inflicted upon him, until it becomes a dangerous obsession.",Drama
7,False,460458,Resident Evil: Welcome to Raccoon City,497.269,False,Witness the origin of evil.,"Once the booming home of pharmaceutical giant Umbrella Corporation, Raccoon City is now a dying Midwestern town. The company’s exodus left the city a wasteland…with great evil brewing below the surface. When that evil is unleashed, the townspeople are forever…changed…and a small group of survivors must work together to uncover the truth behind Umbrella and make it through the night.",Horror Action Science Fiction
8,False,580489,Venom: Let There Be Carnage,22273.069,False,,"After finding a host body in investigative reporter Eddie Brock, the alien symbiote must face a new enemy, Carnage, the alter ego of serial killer Cletus Kasady.",Science Fiction Action Adventure
9,False,459151,The Boss Baby: Family Business,866.699,False,Playtime is over.,The Templeton brothers — Tim and his Boss Baby little bro Ted — have become adults and drifted away from each other. But a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,Animation Comedy Adventure Family
10,False,664698,Contra,3.441,False,,"With his uncouth manner, Professor Pohl doesn’t enjoy the best reputation at the university where he works. To make matters worse, he makes a racist remark when student Naima arrives late for his lecture. Unfortunately for him, a video of his verbal outburst spreads like wildfire on the Internet, and the university’s president, Lambrecht, is called to deal with the incident. But Pohl is not dismissed. Instead, he is put to the task of helping Naima prepare for an important debating competition. The lecturer and the student could not be more different, yet they are thrown together to work as a team.",
11,False,639721,The Addams Family 2,757.417,False,,The Addams get tangled up in more wacky adventures and find themselves involved in hilarious run-ins with all sorts of unsuspecting characters.,Animation Adventure Comedy Family
12,False,370172,No Time to Die,3070.332,False,The mission that changes everything begins…,"Bond has left active service and is enjoying a tranquil life in Jamaica. His peace is short-lived when his old friend Felix Leiter from the CIA turns up asking for help. The mission to rescue a kidnapped scientist turns out to be far more treacherous than expected, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.",Adventure Action Thriller
13,False,420355,Schöne Bescherung,1.136,True,,,
14,False,776544,Luzzu,1.227,False,,"Jesmark, a struggling fisherman on the island of Malta, is forced to turn his back on generations of tradition and risk everything by entering the world of black market fishing to provide for his girlfriend and newborn baby.",Drama
15,False,653762,The Truffle Hunters,6.068,False,,"In the secret forests of Northern Italy, a dwindling group of joyful old men and their faithful dogs search for the world’s most expensive ingredient, the white Alba truffle. Their stories form a real-life fairy tale that celebrates human passion in a fragile land that seems forgotten in time.",Documentary
16,False,700066,"Chien pourri, la vie à Paris",5.379,False,,"Once upon a time there was a Parisian dog, naive and passionate, called Chien Pourri (rotten dog). With Chaplapla, his faithful gutter companion, Chien Pourri walks the streets of Paris, truffles blowing in the wind. No matter what disasters it causes, it always gets back on its feet! So much so that other dogs are starting to find it suspicious ... A program of five short films to follow the crazy adventures of Chien Pourri and his friends and introduce the poetry of Paris to the little ones! By the Panic in the Village and the Grand Méchant Renard (Big Bad Fox) teams.",Animation
17,False,600354,The Father,51.292,False,,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",Drama
18,False,438631,Dune,1364.381,False,"Beyond fear, destiny awaits.","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",Science Fiction Adventure
19,False,524434,Eternals,1528.249,False,In the beginning...,"The Eternals are a team of ancient aliens who have been living on Earth in secret for thousands of years. When an unexpected tragedy forces them out of the shadows, they are forced to reunite against mankind’s most ancient enemy, the Deviants.",Action Adventure Science Fiction Fantasy
20,False,542178,The French Dispatch,68.334,False,,"The quirky staff of an American magazine based in 1970s France puts out its last issue, with stories featuring an artist sentenced to life imprisonment, student riots, and a kidnapping resolved by a chef.",Drama Comedy Romance
21,False,749004,Petite maman,6.886,False,,"Eight-year-old Nelly has just lost her beloved grandmother and is helping her parents clean out her mother’s childhood home. She explores the house and the surrounding woods where her mother used to play and where she built the treehouse Nelly has heard so much about. One day her mother suddenly leaves. That is when Nelly meets a girl of her own age in the woods, building a treehouse.",Drama Fantasy
22,False,600583,The Power of the Dog,27.541,False,,"A domineering, magnetic rancher responds with mocking cruelty when his brother brings home a new wife and her son, until the unexpected comes to pass.",Drama Romance Western
23,False,788238,Burning Memories,0.65,False,,,Documentary
24,False,896483,Die Rettung der uns bekannten Welt,1.966,False,,,Drama Comedy Family
25,False,534188,Youth Unstoppable,3.421,False,,"Interviews with young, passionate activists looking to save the planet. Filmed over ten years from all parts of the world.",Documentary
