,movie,genre,age_limit,language,showtime,date,cinema,place,dt_showtime,cinema_place,latitude,longitude
0,Taming the Garden,Documentary,12/8Y.,O/gf,11:30,2021-12-23,Houdini,Zürich,2021-12-23 11:30:00,Houdini Zürich,47.3746074,8.5203069
1,Miraggio,Documentary,12Y.,I/gf,11:30,2021-12-23,Houdini,Zürich,2021-12-23 11:30:00,Houdini Zürich,47.3746074,8.5203069
2,Madres paralelas,Drama,14/12Y.,S/pgf,11:40,2021-12-23,Houdini,Zürich,2021-12-23 11:40:00,Houdini Zürich,47.3746074,8.5203069
3,Tove,Drama,12Y.,O/gf,11:40,2021-12-23,Houdini,Zürich,2021-12-23 11:40:00,Houdini Zürich,47.3746074,8.5203069
4,The Matrix Resurrections,"Action, Adventure, Sci-fi, Thriller",14Y.,G,11:45,2021-12-23,Kinocenter,Chur,2021-12-23 11:45:00,Kinocenter Chur,,
5,Apenas el sol,Documentary,12/0Y.,O/gf,11:50,2021-12-23,Houdini,Zürich,2021-12-23 11:50:00,Houdini Zürich,47.3746074,8.5203069
6,Un triomphe,"Comedy, Drama",10/8Y.,F/g,12:00,2021-12-23,Kinocenter,Chur,2021-12-23 12:00:00,Kinocenter Chur,,
7,Der Wolf und der Löwe,"Adventure, Children",6Y.,G,12:15,2021-12-23,Kinocenter,Chur,2021-12-23 12:15:00,Kinocenter Chur,,
8,Rifkin's Festival,"Comedy, Romance",14Y.,E/gf,12:15,2021-12-23,Arthouse Le Paris,Zürich,2021-12-23 12:15:00,Arthouse Le Paris Zürich,47.3664352,8.5474694
9,Clifford der grosse rote Hund,"Animation, Children, Comedy",6/4Y.,G,13:00,2021-12-23,ABC,Bülach,2021-12-23 13:00:00,ABC Bülach,,
10,Clifford der grosse rote Hund,"Animation, Children, Comedy",6/4Y.,G,13:30,2021-12-23,blue Cinema Capitol,Zürich,2021-12-23 13:30:00,blue Cinema Capitol Zürich,47.3778376,8.5441343
11,Clifford der grosse rote Hund,"Animation, Children, Comedy",6/4Y.,G,13:30,2021-12-23,Arena Cinemas,Zürich,2021-12-23 13:30:00,Arena Cinemas Zürich,47.3584227,8.5226872
12,Clifford der grosse rote Hund,"Animation, Children, Comedy",6/4Y.,G,13:30,2021-12-23,Stüssihof,Zürich,2021-12-23 13:30:00,Stüssihof Zürich,47.3723239,8.5437701
